id,brand,title,price,priceCurrency,description,specTableContent
0,,"Western Digital Blue PC 2.5\"" 250 GB Serial ATA III",62.436001,EUR,"250 GB, 2.5\"", SATA 6Gb/s, 540/500 MB/s",
1,,MSI MPG Z490 GAMING EDGE WIFI Mainboard - Intel Z490 - Intel LGA1200 socket - DDR4 RAM - ATX,198.24,EUR,"Mainboard, ATX, Intel LGA1200 Socket, Intel Z490, 2 x PCI-Express 3.0 x16, Dual DDR4-2933 - 4 x DIMM slots, 6 x SATA-600 / 2 x M.2 NVMe (2242 / 2260 / 2280), USB 3.2 Type A & C, DisplayPort / HDMI Verbindung, Realtek 8125B 2.5 Gigabit LAN, Intel WiFi 6 (802.11ax) & Bluetooth 5.1, Intel HD Graphics unterstützung (CPU erforderlich), Realtek ALC1220 HD Audio (8-Kanäle), stützen CrossFireX - MSI Mystic Light RGB support",
2,,Asus ROG STRIX B550-F GAMING AM4 ATX Motherboard,269.00,AUD,"ASUS ROG STRIX B550-F GAMING AM4 ATX Motherboard - Memory Support: 4x DDR4 DIMM Slots (128GB, 5000 MHz O.C) - Expansion Slots: 1x PCIe 4.0 x16 (x16 mode), 1x PCIe 3.0 x16 (x4 mode) & 3x PCIe 3.0 x1 - Storage Support: 2x M.2 Slots & 6x SATA 6Gb/s Connectors - Network: Intel® I225-V 2.5Gb Ethernet - ROG SupremeFX 7.1-Channel High Definition Audio CODEC S1220A - Rear USB Ports: 2x USB 3.2 Gen 2 (1x USB-C), 4x USB 3.2 Gen 1 & 2x USB 2.0 - 3 Years Limited Warranty",
3,,Monitor 34 cali XUB3493WQSU-B1 IPS UWQHD DP/USB/2xHDMI,2192.23,PLN,,
4,,Evolve 80 MS Stereo Binaural Head-band Black,255.07,EUR,"Jabra Evolve 80 MS Stereo. Product type: Headset, Wearing style: Head-band, Product colour: Black. Connectivity technology: Wired. Ear coupling: Supraaural. Weight: 324 g. Number of products included: 1 pc(s), Interface type: 3.5mm / USBTV",
5,TP-LINK,TP-LINK Archer C60 draadloze router Dual-band (2.4 GHz / 5 GHz) Fast Ethernet Wit,7.195E1,EUR,TP-LINK Archer C60 draadloze router Dual-band (2.4 GHz / 5 GHz) Fast Ethernet Wit,
6,,Xerox 106R01162 High Capacity Yellow Toner Cartridge,520.31,USD,Genuine OEM 106R01162 toner cartridge exclusively designed for the Xerox Phaser 7760.,
7,TP-Link,TP-Link EAP-115 SMB Access Point 300Mbit/s,35.75,EUR,"Build and manage a scalable Wi-Fi network for your business with this business-class solution, tailored to handle the power of multiple EAPs at an affordable cost.The user-friendly cluster mode allows manage without requiring any extra hardware or softwareSupports Power over Ethernet (802.3af) for convenient and affordable installationSimple mounting design for easy attachment to a wall or ceilingCaptive portal provides one convenient method of authentication for Wi-Fi guestsEnterprise-class Wi-Fi security help to decrease network security threatsMulti-SSID divides multiple wireless networks for different user typesEasy-to-use cluster modeThe user-friendly cluster mode allows you to manage EAPs in your business network without requiring any",
8,TAG Heuer,TAG Heuer Aquaracer Quartz Steel 40.5mm Watch,,,,
9,,Blackmagic Design ATEM Production Studio 4K Live Switcher,1695,USD,"Supports NTSC/PAL/HD/UltraHD 4K @ 10-bit Supports 4K Resolution Over SDI or HDMI 4 x 6G-SDI & 4 x HDMI Inputs (4k/HD/SD) Tri-Sync/Blackburst Ref. Sync Input 8 x Built-in Frame Synchronizers Multiview Monitoring in HD Program Outputs in SD/HD/4K HD 1 x Upstream & 2 x Downstream Keyers Audio: 10 x Input, 2 Channel Mixer Hardware or Software Mac/PC Control",
