id,brand,title,price,priceCurrency,description,specTableContent
0,,Western Digital Blue SSD 3D 2TB 2.5 (WDS200T2B0A),,,,
1,Canon,Compatible Canon 120 Toner Cartridge,39.99,USD,"Get your printing right the first time and every time. This eco-friendly cartridge is compatible with the Canon 120. You will get first-rate print quality with crisp vibrant output from the first page to thelast. We make all of our cartridges with the highest quality new and recycled components in ISO9001 / ISO14001 certified factories. They are easy to install, affordable and deliver sharp professional results every time you print.",
2,ASUS,Asus STRIX X570-F GAMING DDR4 S+GL AM4 (ATX),2421.68,TRY,PCI Express x1 Slot Says3Tmleik Grnt KartVarlemci reticisiAmdPCI Express x16 Slot Say3PCI Slot SaysYokMaksimum Bellek128 GBYap StandartATXGaranti Sresi36 AyTmleik A Kart10/100/1000 MbpsUyumlu lemcilerAmd Ryzen 9Uyumlu lemcilerAmd Ryzen 5Portlar1x USB Type-CPCI Express x4 Slot SayYokSabit Diskler2x M.2 SoketSabit Diskler8 x SATA III ( 6Gb/s )Soket YapsAmd Socket AM4Ram HzDDR4 2133 MHzRam HzDDR4 2400 MHz,
3,,"Monitor 27 SW2700PT LED QHD,IPS,HDMI,DP,USB",3028,PLN,,
4,,ASUS TUF X470 Plus Gaming with Aura Sync RGB LED lighting AM4 DDR4 HDMI DVI M.2 ATX Motherboard,81.32,OMR,"AMD Ryzen 2 AM4 and 7th generation Athlon processors to maximize connectivity and speed with dual NVMe M.2, USB 3.1 Gen2 and gigabit LAN Military-grade TUF components like TUF LANGuard, TUF Chokes, TUF Capacitors, and TUF MOSFETs maximize durability Gamer’s Guardian with SafeSlot and Fan Xpert 4 Core provides hardware-level safeguards for maximum performance with dynamic system cooling Unmatched personalization with ASUS exclusive Aura Sync RGB lighting and additional RGB header 3-Year Warranty for guaranteed reliability built on military-grade engineering",
5,,"TP-Link Archer C1200 Dual band Wireless 802.11ac Gigabit router 4xLAN, 1x USB",232.33,PLN,,
6,MAXXIS,MAXXIS AGGRESSOR 29X2.3 EXO/TR,70.00,AUD,,
7,,TP-LINK EAP110 Access point - Wit,3.509E1,EUR,300Mbps Wireless N Ceiling/Wall Mount Access Point 2.4Ghz 802.11b/g/n 10/100Mbps LAN Passive PoE Centralized ManagementMulti-SSID 2*4dbi Internal Antennas,
8,,TAG Heuer Aquaracer Chronograph Men's Watch,1.395E3,GBP,The ultimate sports watch inspired by the aquatic world. This stylish mens 40.5mm quartz watch features an unidirectional turning polished steel bezel. This will protect you so that you can take risks and count on the on the ultimate precision under pressure as you dive into life. The black anti glare dial has hand-applied polished and faceted indexes with luminescent markers and skeletonised polished hour and minute hands with date window at 6 o'clock.Official Stockists: YesRange: AquaracerModel: WAY111Z.BA0928Gender: MensBracelet Material: Stainless SteelMovement: QuartzDial Colour: BlackCase Size: 40.50mmCase Material: Stainless SteelWater Resistance: 300mWarranty: 2 Year,
9,Cooler Master,Cooler Master Hyper H411R CPU Cooler RR-H411-20PW-R1 | PCByte,35.0,AUD,,
10,Gigabyte,Gigabyte Z490 Vision G (Socket LGA 1200) DDR4 ATX Motherboard,229.992,GBP,"Socket 1200, Support for Intel 10th Generation Comet Lake-S Processors, 4x DDR4 DIMM, 6x SATA, 2x M.2, RGB (Analogue & Digital), Intel 2.5Gb LAN",
11,,Corsair Vengeance RGB Pro 16GB 2x8GB 288-Pin DDR4 DRAM DDR4 3000 (PC4 24000) Desktop Memory Model - White | CMW16GX4M2C3000C15W,390.00,AED,DDR4 3000 (PC4 24000) Timing 15-17-17-35 CAS Latency 15 Voltage 1.35V,
12,Brother,Brother HL-L8360CDW Wireless Colour Laser + LCD,7015.00,ZAR,"Brother’s business colour laser range has been designed for the needs of businesses. Built with robust materials to withstand the most challenging office environments, this range is the perfect partner for your business.The advanced security capabilities of the colour laser range ensures you are always in full control of your print infrastructure. You can improve data protection by restricting machine access with network user authentication and secure print, which allows you to password-protect certain device functions.",
0,,Western Digital Blue SSD 3D 2TB 2.5 (WDS200T2B0A),,,,
13,,"SAMSUNG 65-inch Class QLED Q70T Series - 4K UHDDual LED Quantum HDR Smart TV with Alexa Built-in (QN65Q70TAFXZA, 2020 Model)",5438.99,USD,"Size:65-Inch | Style:TV OnlyEquipped with Quantum Dot Technology, this TV unleashes a massive spectrum of a billion shades of color. A crisp 240Hz motion rate banishes blur and smooths out the picture for more fluid action. It even looks great when you’re not watching at all, thanks to Ambient Mode +. DISCLAIMERS: *Background feature accuracy may vary based on TV location and is dependent on wall designs, patterns and/or colors. SmartThings app on a mobile device (Android, iOS) is required for some functionality. App features may be limited at launch; please continue to check for updates.",
14,,Hikvision DS-7216HQHI-K1 Turbo HD DVR,350.00,SGD,,
15,Jabra,Jabra Evolve 75 UC Stereo Headset 7599-838-109,282,AUD,Jabra 7599-838-109 Ev 75 Uc,
16,Znaka: Originln,Originln toner KYOCERA TK-3100 (ern),2499,CZK,Originln spotebn materil pro tiskrny KYOCERA,
17,Avid,Avid G2 Clean Sweep Disc Brake Rotor (6-Bolt) (1) (160mm),33.49,USD,"Avid Rotors and Rotor Mounting Parts.Features:G2 CleanSweep excellent choice for the Elixir 1/3, mechanical disc brakes and all older Avid brake modelsG3 CleanSweep great choice for Code brake modelsFeatures CleanSweep edges that keep pads clean while providing maximum stopping power and cooling(IS) International Standard 6-bolt (44mm BCD), (RH) 4-bolt Rohloff SpeedHub specificAvailable in 140mm, 160mm, 180mm, 200mm, and 203mm Specs:Model Description:G2 CleanSweep disc rotor This product was added to our catalog on March 4, 2019",
18,,Shimano SPD SL Cleat Set,39.95,AUD,"Shimano cleats come in 3 different colours these days. The latest version is blue, which hasn’t been around for long but is definitely worth considering...",
19,,Tissot Heritage Visodate Analog Swiss Quartz Sapphire Crystal Men's Watch,2.2E2,USD,"Stainless steel case, Stainless steel mesh bracelet,Quartz movement, Scratch resistant sapphire, Water resistant up to 3 ATM - 30 meters - 100 feet. Stainless Steel case with 40mm diameter with Silver 7 inches length and 19mm width. Quartz movement, 30M water resistance, Sapphire crystal.######● Brand : Tissot● Gender : Men's● Series : HERITAGE● Movement : Quartz● Case Material : Stainless Steel● Case Size : ● Case Thickness : ● Case Back : ● Crown : ● Bezel : ● Markers : ● Hands : ● Bracelet : Stainless Steel Mesh● Bracelet Color : ● Water Resistance : ● Alarm :",
20,,Corsair LL140 RGB 140mm Fans 2 Pack with Lighting Node Pro,119.00,AUD,"Made for those seeking excellent airflow, quiet operation, and powerful lighting, the CORSAIR LL140 RGB fan puts your PC back in the loop. These RGB fans light up your case with sixteen independent RGB LEDs for nearly endless customisation, offer PWM control and push up to 51.5 CFM while producing up to 25 dBA. Pack of 2 LL140 RGB fans with Lighting Node Pro.",
21,,"RAM Motorcycle Fork Stem Base w 1\"" Ball (RAM-B-342U)",30.45,AUD,"Included:1 x RAM Motorcycle Fork Stem Base w 1\"" Ball (RAM-B-342U)TheRAM® Motorcycle Centre Fork Stem Mount (RAM-HAR-B-342U)This product is probably one of the most simple and popular ways to mount electronic devices to your motorcycle. It slides into the fork stem hole of the bike and screws in for a tight fit.Note: compatible with stems that measure from 12 - 33mm (0.5” – 1.29”) in diameter.A 1\"" ball is attached, which allows you to connect to any RAM Holder/Cradle tomount phones, cameras, GPS units and more.RAM CRADLE/HOLDER for Device SOLD SEPARATELYSpecsMaterial:Powder Coated Marine Grade AluminiumBall Size:1\"" Rubber Ball \""B\"" SizeMade",
22,,"Johnnie Walker Blue Label 0,7 ltr.",139.95,EUR,,
23,Apple,Apple Apple Lightning to Digital AV HDMI Adapter,29.00,BHD,"Use the Lightning Digital AV Adapter with your iPhone, iPad, or iPod with Lightning connector. The Lightning Digital AV Adapter supports mirroring of what is displayed on your device screen — including apps, presentations, websites, slideshows, and more —",
24,EPSON,Epson T596 Light Light Black 350 ml,157.79,EUR,Stylus Pro 7900 / 9900...,
25,Epson,Compatible Epson T1281 Black Ink Cartridge (T1281BCOM),3.99,GBP,,
26,D’Addario,D'Addario EJ17 Medium Guage 13-56,9.0,USD,,
27,,Epson 79XL Magenta Ink Cartridge,32.62,GBP,Epson 79XL Magenta Ink Cartridge,
